exceedance_probability,return_period_years,insured_loss_threshold
0.0413,24.213075060532685,833217920.1412283
0.0414,24.154589371980677,831314300.1839893
0.0415,24.096385542168672,829189915.229571
0.0416,24.03846153846154,828962192.0682406
0.0417,23.980815347721823,824893412.1375364
0.0418,23.923444976076556,820433792.4565251
0.0419,23.86634844868735,818520798.6117431
0.042,23.809523809523807,816464544.7066926
0.0421,23.752969121140143,816132050.8376338
0.0422,23.696682464454977,806237174.1633211
0.0423,23.64066193853428,805395219.2253604
0.0424,23.58490566037736,804356415.4716157
0.0425,23.52941176470588,803305119.2728641
0.0426,23.474178403755868,802826095.4260052
0.0427,23.419203747072597,802452441.6842661
0.0428,23.364485981308412,799199537.9819224
0.0429,23.31002331002331,798370025.1491163
0.043,23.255813953488374,793914862.935512
0.0431,23.20185614849188,791566537.4249816
0.0432,23.148148148148145,785474725.5684425
0.0433,23.094688221709006,784847149.211819
0.0434,23.04147465437788,784296763.7954606
0.0435,22.98850574712644,772687573.9817766
0.0436,22.93577981651376,769365526.5591717
0.0437,22.88329519450801,764253692.1775576
0.0438,22.831050228310502,762535457.3712473
0.0439,22.779043280182233,762478369.2131778
0.044,22.72727272727273,762456447.84709
0.0441,22.675736961451246,759882407.2450705
0.0442,22.62443438914027,753453489.3564874
0.0443,22.573363431151243,752878772.5346998
0.0444,22.52252252252252,751645564.9424914
0.0445,22.471910112359552,747743458.1497856
0.0446,22.42152466367713,747393812.160776
0.0447,22.371364653243848,745545475.7799851
0.0448,22.321428571428573,744689444.191723
0.0449,22.271714922048996,744007582.7064847
0.045,22.22222222222222,742438538.3730936
0.0451,22.172949002217294,741915637.7142216
0.0452,22.123893805309734,741459235.511598
0.0453,22.075055187637968,740330152.9285518
0.0454,22.026431718061673,739097555.2598807
0.0455,21.978021978021978,737840542.8622106
0.0456,21.929824561403507,733747878.5662234
0.0457,21.88183807439825,733259834.6757429
0.0458,21.83406113537118,730253147.5512997
0.0459,21.78649237472767,726777037.4386804
0.046,21.73913043478261,726758163.4565427
0.0461,21.691973969631235,725779951.881
0.0462,21.645021645021647,724527024.5154153
0.0463,21.598272138228943,724419753.1146252
0.0464,21.551724137931036,719274146.6038305
0.0465,21.50537634408602,715847316.1877536
0.0466,21.459227467811157,714522537.0892103
0.0467,21.413276231263385,708003494.0566449
0.0468,21.367521367521366,704036516.3114015
0.0469,21.321961620469086,702100107.1492662
0.047,21.27659574468085,700735430.6896698
0.0471,21.231422505307854,697155428.545509
0.0472,21.186440677966104,697021245.6082475
0.0473,21.14164904862579,696800947.9705623
0.0474,21.09704641350211,693703896.6630056
0.0475,21.05263157894737,688987416.3724098
0.0476,21.008403361344538,688810900.3200072
0.0477,20.964360587002098,688218622.8005881
0.0478,20.920502092050206,683560648.8150034
0.0479,20.876826722338205,681911633.9814001
0.048,20.833333333333332,676645003.3741544
0.0481,20.79002079002079,675213591.176414
0.0482,20.74688796680498,674061107.0569036
0.0483,20.70393374741201,673233974.0887905
0.0484,20.66115702479339,673138758.1857874
0.0485,20.618556701030926,672814615.6934296
0.0486,20.5761316872428,668962349.8637202
0.0487,20.53388090349076,668138037.2368182
0.0488,20.491803278688522,667634931.7061511
0.0489,20.449897750511248,667423411.7981348
0.049,20.408163265306122,667320071.537255
0.0491,20.366598778004075,665997363.2692171
0.0492,20.32520325203252,664632677.2765409
0.0493,20.28397565922921,662576754.7132963
0.0494,20.242914979757085,662479004.6988636
0.0495,20.2020202020202,661515001.5364678
0.0496,20.161290322580644,660099396.7578777
0.0497,20.120724346076457,658410153.5859828
0.0498,20.080321285140563,657670302.5992255
0.0499,20.04008016032064,657284556.5686381
0.05,20.0,654066655.9066488
0.0501,19.960079840319363,648692535.2495936
0.0502,19.9203187250996,643329652.5479534
0.0503,19.880715705765407,640520874.1940901
0.0504,19.841269841269842,638860941.4795691
0.0505,19.801980198019802,638420837.9893719
0.0506,19.76284584980237,634385653.1621654
0.0507,19.72386587771203,632382713.5493824
0.0508,19.68503937007874,632099488.0548471
0.0509,19.646365422396855,629366447.1714948
0.051,19.607843137254903,628295983.852885
0.0511,19.569471624266146,626158086.4108078
0.0512,19.53125,624503768.7834347
0.0513,19.49317738791423,621899783.660017
0.0514,19.455252918287936,621869261.8212098
0.0515,19.417475728155342,621011923.3141305
0.0516,19.37984496124031,619920994.5033495
0.0517,19.342359767891683,616892242.8399369
0.0518,19.305019305019304,616569009.8728851
0.0519,19.267822736030826,613993569.2841599
0.052,19.23076923076923,613380366.3418256
0.0521,19.193857965451055,611411854.2471917
0.0522,19.157088122605362,610898090.7950625
0.0523,19.120458891013385,607339758.2463199
0.0524,19.083969465648853,606822340.2412188
0.0525,19.047619047619047,605564889.814339
0.0526,19.011406844106464,601491716.3006157
0.0527,18.975332068311197,600892862.9043355
0.0528,18.93939393939394,596394187.0491358
0.0529,18.90359168241966,594904124.010292
0.053,18.867924528301888,593647989.4014732
0.0531,18.832391713747647,592869843.3980445
0.0532,18.79699248120301,591096758.4257371
0.0533,18.76172607879925,587979467.3162934
0.0534,18.726591760299623,579506313.9023257
0.0535,18.69158878504673,578559783.0586601
0.0536,18.65671641791045,577585136.7887287
0.0537,18.6219739292365,577465117.6582303
0.0538,18.587360594795538,575964689.2698492
0.0539,18.552875695732837,573492002.8324931
0.054,18.51851851851852,572815648.8776135
0.0541,18.484288354898336,569371735.5037029
0.0542,18.45018450184502,569045287.1813096
0.0543,18.41620626151013,567754406.454202
0.0544,18.38235294117647,562127182.6999862
0.0545,18.34862385321101,559975263.6817925
0.0546,18.315018315018314,557008662.9904665
0.0547,18.281535648994517,550376875.3687352
0.0548,18.248175182481752,548952938.3487407
0.0549,18.214936247723134,548928897.4858352
0.055,18.181818181818183,545563865.5227158
0.0551,18.148820326678766,544204189.739679
0.0552,18.115942028985508,543958384.7190416
0.0553,18.083182640144663,538263452.6771258
0.0554,18.050541516245488,536435973.1021045
0.0555,18.01801801801802,534627870.1557717
0.0556,17.98561151079137,534584247.6399864
0.0557,17.953321364452425,534245260.3852785
0.0558,17.921146953405017,533316247.0663283
0.0559,17.88908765652952,530609064.3867162
0.056,17.857142857142858,530411410.49846435
0.0561,17.825311942959004,529546563.6259928
0.0562,17.793594306049823,527793577.2873162
0.0563,17.761989342806395,525017456.5463364
0.0564,17.73049645390071,524225291.7472562
0.0565,17.699115044247787,520037187.549147
0.0566,17.6678445229682,519078524.68050367
0.0567,17.636684303350968,518973140.90148133
0.0568,17.6056338028169,518250711.3000131
0.0569,17.57469244288225,517229317.61304736
0.057,17.543859649122805,516188191.2526111
0.0571,17.513134851138354,513260433.2260953
0.0572,17.482517482517483,512533616.0564845
0.0573,17.452006980802793,511156312.4981997
0.0574,17.421602787456447,511061009.13350856
0.0575,17.391304347826086,510855468.8053774
0.0576,17.36111111111111,510190212.0956363
0.0577,17.33102253032929,510050158.27648014
0.0578,17.301038062283737,507583145.5871221
0.0579,17.271157167530223,507042243.80434656
0.058,17.241379310344826,506197689.2637467
0.0581,17.21170395869191,505766908.5667286
0.0582,17.18213058419244,500979282.0465744
0.0583,17.152658662092627,500887920.109505
0.0584,17.123287671232877,500281486.0348921
0.0585,17.094017094017094,496987674.69919443
0.0586,17.064846416382252,494924442.49749935
0.0587,17.035775127768314,491907114.66056365
0.0588,17.006802721088437,486451123.1237156
0.0589,16.97792869269949,485508770.5873622
0.059,16.949152542372882,485471269.3075639
0.0591,16.920473773265652,482093951.65804577
0.0592,16.89189189189189,481182353.8227952
0.0593,16.863406408094434,480946392.7345966
0.0594,16.835016835016834,480743965.35489726
0.0595,16.80672268907563,480079539.24438614
0.0596,16.778523489932887,478860996.58548045
0.0597,16.75041876046901,478722929.0258704
0.0598,16.722408026755854,478101454.71631604
0.0599,16.69449081803005,477796776.6170166
0.06,16.666666666666668,474872771.93732053
0.0601,16.638935108153078,474454821.0256927
0.0602,16.611295681063122,466166864.44442296
0.0603,16.58374792703151,465576327.0425745
0.0604,16.556291390728475,465389659.8303136
0.0605,16.528925619834713,463460687.92022914
0.0606,16.5016501650165,462517510.59488124
0.0607,16.474464579901156,462346842.1864348
0.0608,16.44736842105263,461848608.9212993
0.0609,16.420361247947454,460839175.9208065
0.061,16.39344262295082,460037245.388512
0.0611,16.366612111292962,460005375.85551995
0.0612,16.339869281045754,458159119.7580759
0.0613,16.31321370309951,457909503.83451414
0.0614,16.286644951140065,457430103.8324198
0.0615,16.260162601626018,457015952.828301
0.0616,16.233766233766232,451153689.44163257
0.0617,16.207455429497568,446796608.22084725
0.0618,16.181229773462782,445466959.61223924
0.0619,16.155088852988694,443949450.86523145
0.062,16.129032258064516,443669187.23915243
0.0621,16.10305958132045,443418986.4934884
0.0622,16.077170418006432,443412192.2592675
0.0623,16.051364365971107,442868794.3724641
0.0624,16.025641025641026,442427544.0925538
0.0625,16.0,441790315.3120097
0.0626,15.974440894568689,441095985.5427549
0.0627,15.948963317384369,440497234.4937179
0.0628,15.923566878980893,440080441.09277964
0.0629,15.89825119236884,437890144.9945621
0.063,15.873015873015873,435224733.0377276
0.0631,15.847860538827257,433967070.62870944
0.0632,15.822784810126581,432561542.9963217
0.0633,15.797788309636653,432255920.45056844
0.0634,15.772870662460567,430139258.77635556
0.0635,15.748031496062993,429016247.9873558
0.0636,15.723270440251572,425291070.09991956
0.0637,15.698587127158554,424039820.5191583
0.0638,15.673981191222571,421209391.14012223
0.0639,15.64945226917058,421170985.39241797
0.064,15.625,420809839.037907
0.0641,15.600624024960997,420596081.5978113
0.0642,15.576323987538942,419310030.40247387
0.0643,15.552099533437016,418667473.1422212
0.0644,15.527950310559007,416409164.8268375
0.0645,15.503875968992247,413693322.77158344
0.0646,15.479876160990711,411635929.4964835
0.0647,15.45595054095827,410959990.6579171
0.0648,15.4320987654321,410644952.73045844
0.0649,15.408320493066256,409372356.6789207
0.065,15.384615384615383,408438104.24782246
0.0651,15.360983102918585,407960901.2669477
0.0652,15.337423312883438,405083987.48416346
0.0653,15.313935681470138,401738305.78391385
0.0654,15.290519877675841,401421671.73185945
0.0655,15.267175572519083,399900603.8841856
0.0656,15.243902439024389,398939664.9114622
0.0657,15.220700152207003,398807739.8479214
0.0658,15.197568389057752,398633035.5849512
0.0659,15.174506828528072,398479269.2733842
